証券コード	EDINETコード	会社名	業種	取引所	書類種類	決算日	提出日	訂正報告書	監査法人	会計方式
9058.0	E04208	トランコム㈱	倉庫・運輸関連業	東証一部、名証一部	有価証券報告書	20190331	20190621	--	有限責任監査法人トーマツ	日本基準
9073.0	E04197	京極運輸商事㈱	陸運業	ＪＱＳ	有価証券報告書	20190331	20190627	--	有限責任監査法人トーマツ	日本基準
9063.0	E04195	岡山県貨物運送㈱	陸運業	東証二部	有価証券報告書	20190331	20190627	訂正(2019/07/25)	有限責任監査法人トーマツ	日本基準
9064.0	E04187	ヤマトホールディングス㈱	陸運業	東証一部	有価証券報告書	20190331	20190621	--	有限責任監査法人トーマツ	日本基準
	E04177	近物レックス㈱	非公開	非上場	有価証券報告書	20190331	20190619	--	有限責任監査法人トーマツ	日本基準
	E04153	東京地下鉄㈱	非公開	非上場	有価証券報告書	20190331	20190628	--	有限責任監査法人トーマツ	日本基準
9022.0	E04149	東海旅客鉄道㈱	陸運業	東証一部、名証一部	有価証券報告書	20190331	20190621	--	有限責任監査法人トーマツ	日本基準
	E04135	関東鉄道㈱	非公開	非上場	有価証券報告書	20190331	20190625	--	有限責任監査法人トーマツ	日本基準
	E04129	遠州鉄道㈱	非公開	非上場	有価証券報告書	20190331	20190627	--	有限責任監査法人トーマツ	日本基準
	E04113	静岡鉄道㈱	非公開	非上場	有価証券報告書	20190331	20190621	--	有限責任監査法人トーマツ	日本基準
9009.0	E04091	京成電鉄㈱	陸運業	東証一部	有価証券報告書	20190331	20190627	--	有限責任監査法人トーマツ	日本基準
8881.0	E03984	日神不動産㈱	不動産業	東証一部	有価証券報告書	20190331	20190627	--	有限責任監査法人トーマツ	日本基準
8871.0	E03971	㈱ゴールドクレスト	不動産業	東証一部	有価証券報告書	20190331	20190628	--	有限責任監査法人トーマツ	日本基準
8860.0	E03953	フジ住宅㈱	不動産業	東証一部	有価証券報告書	20190331	20190620	--	有限責任監査法人トーマツ	日本基準
8844.0	E03938	㈱コスモスイニシア	不動産業	ＪＱＳ	有価証券報告書	20190331	20190621	--	有限責任監査法人トーマツ	日本基準
	E03816	㈱ＳＢＩ証券	非公開	非上場	有価証券報告書	20190331	20190627	--	有限責任監査法人トーマツ	日本基準
	E03771	三菱ＵＦＪ証券ホールディングス㈱	非公開	非上場	有価証券報告書	20190331	20190626	--	有限責任監査法人トーマツ	日本基準
8616.0	E03764	東海東京フィナンシャル・ホールディングス㈱	証券、商品先物取引業	東証一部、名証一部	有価証券報告書	20190331	20190626	--	有限責任監査法人トーマツ	日本基準
8613.0	E03760	丸三証券㈱	証券、商品先物取引業	東証一部	有価証券報告書	20190331	20190621	--	有限責任監査法人トーマツ	日本基準
8732.0	E03747	㈱マネーパートナーズグループ	証券、商品先物取引業	東証一部	有価証券報告書	20190331	20190617	--	有限責任監査法人トーマツ	日本基準
8515.0	E03721	アイフル㈱	その他金融業	東証一部	有価証券報告書	20190331	20190626	--	有限責任監査法人トーマツ	日本基準
8589.0	E03697	㈱アプラスフィナンシャル	その他金融業	東証一部	有価証券報告書	20190331	20190627	--	有限責任監査法人トーマツ	日本基準
8572.0	E03693	アコム㈱	その他金融業	東証一部	有価証券報告書	20190331	20190621	--	有限責任監査法人トーマツ	日本基準
8530.0	E03653	㈱中京銀行	銀行業	東証一部、名証一部	有価証券報告書	20190331	20190621	--	有限責任監査法人トーマツ	日本基準
8537.0	E03645	㈱大光銀行	銀行業	東証一部	有価証券報告書	20190331	20190625	--	有限責任監査法人トーマツ	日本基準
8558.0	E03640	㈱東和銀行	銀行業	東証一部	有価証券報告書	20190331	20190627	--	有限責任監査法人トーマツ	日本基準
8550.0	E03639	㈱栃木銀行	銀行業	東証一部	有価証券報告書	20190331	20190627	--	有限責任監査法人トーマツ	日本基準
8562.0	E03637	㈱福島銀行	銀行業	東証一部	有価証券報告書	20190331	20190626	--	有限責任監査法人トーマツ	日本基準
	E03626	三菱ＵＦＪ信託銀行㈱	非公開	非上場	有価証券報告書	20190331	20190627	--	有限責任監査法人トーマツ	日本基準
8377.0	E03618	㈱ほくほくフィナンシャルグループ	銀行業	東証一部、札証上場	有価証券報告書	20190331	20190624	--	有限責任監査法人トーマツ	日本基準
8308.0	E03610	㈱りそなホールディングス	銀行業	東証一部	有価証券報告書	20190331	20190625	--	有限責任監査法人トーマツ	日本基準
8306.0	E03606	㈱三菱ＵＦＪフィナンシャル・グループ	銀行業	東証一部、名証一部	有価証券報告書	20190331	20190627	--	有限責任監査法人トーマツ	日本基準
8397.0	E03603	㈱沖縄銀行	銀行業	東証一部、福証上場	有価証券報告書	20190331	20190625	--	有限責任監査法人トーマツ	日本基準
8393.0	E03597	㈱宮崎銀行	銀行業	東証一部、福証上場	有価証券報告書	20190331	20190627	--	有限責任監査法人トーマツ	日本基準
8392.0	E03596	㈱大分銀行	銀行業	東証一部、福証上場	有価証券報告書	20190331	20190627	--	有限責任監査法人トーマツ	日本基準
8398.0	E03592	㈱筑邦銀行	銀行業	福証上場	有価証券報告書	20190331	20190627	--	有限責任監査法人トーマツ	日本基準
8369.0	E03576	㈱京都銀行	銀行業	東証一部	有価証券報告書	20190331	20190628	--	有限責任監査法人トーマツ	日本基準
8366.0	E03575	㈱滋賀銀行	銀行業	東証一部	有価証券報告書	20190331	20190611	--	有限責任監査法人トーマツ	日本基準
8355.0	E03570	㈱静岡銀行	銀行業	東証一部	有価証券報告書	20190331	20190617	--	有限責任監査法人トーマツ	日本基準
8356.0	E03569	㈱十六銀行	銀行業	東証一部、名証一部	有価証券報告書	20190331	20190621	--	有限責任監査法人トーマツ	日本基準
8359.0	E03563	㈱八十二銀行	銀行業	東証一部	有価証券報告書	20190331	20190624	訂正(2019/07/31)	有限責任監査法人トーマツ	日本基準
8360.0	E03562	㈱山梨中央銀行	銀行業	東証一部	有価証券報告書	20190331	20190625	--	有限責任監査法人トーマツ	日本基準
8343.0	E03546	㈱秋田銀行	銀行業	東証一部	有価証券報告書	20190331	20190626	--	有限責任監査法人トーマツ	日本基準
